field_id,availability,stability,private,value_type,base_type,item_type,instanced,arrayed,sexed,units,main_category,encoding_id,instance_id,instance_min,instance_max,array_min,array_max,debut,version,num_participants,item_count
2090,0,0,0,21,11,0,1,0,0,,100060,100349,2,0,3,0,0,2012-01-05,2020-03-19,501598,573758
2100,0,0,0,21,11,0,1,0,0,,100060,100349,2,0,3,0,0,2012-01-05,2020-03-19,501598,573758
2110,0,0,0,21,11,0,1,0,0,,100061,100501,2,0,3,0,0,2012-01-05,2020-03-19,501597,573757
2129,0,0,0,21,11,0,1,0,0,,100056,100503,2,0,3,0,0,2012-01-05,2020-03-19,501595,573755
2139,0,0,0,11,0,0,1,0,0,years,100056,100504,2,0,3,0,0,2012-01-05,2020-03-19,456566,521166
2149,0,0,0,11,0,0,1,0,0,,100056,100291,2,0,3,0,0,2012-01-05,2020-03-19,452372,516350
2159,0,0,0,21,11,0,1,0,0,,100056,100352,2,0,3,0,0,2012-01-05,2020-03-19,452372,516350
2178,0,0,0,21,11,0,1,0,0,,100042,100508,2,0,3,0,0,2012-01-05,2020-03-19,501591,573751
2188,0,0,0,21,11,0,1,0,0,,100042,100349,2,0,3,0,0,2012-01-05,2020-03-19,501591,573751
2207,0,0,0,21,11,0,1,0,0,,100041,100352,2,0,3,0,0,2012-01-05,2020-03-19,501591,573751
2217,0,0,0,11,0,0,1,0,0,,100041,100291,2,0,3,0,0,2012-01-05,2020-03-19,445591,507953
2227,0,0,0,21,11,0,1,0,0,,100041,100352,2,0,3,0,0,2012-01-05,2020-03-19,501590,573750
2237,0,0,0,21,11,0,1,0,0,,100053,100639,2,0,3,0,0,2012-01-05,2020-03-19,501590,573750
2247,0,0,0,21,11,0,1,0,0,,100043,100631,2,0,3,0,0,2012-01-05,2020-03-19,498707,569980
2257,0,0,0,21,11,0,1,0,0,,100043,100349,2,0,3,0,0,2012-01-05,2020-03-19,501460,573606
2267,0,0,0,21,11,0,1,0,0,,100055,100536,2,0,3,0,0,2012-01-05,2020-03-19,498707,569980
2277,0,0,0,11,0,0,1,0,0,times/year,100055,100537,2,0,3,0,0,2012-01-05,2020-03-19,498707,569980
2296,0,0,0,21,11,0,1,0,0,,100042,100539,2,0,3,0,0,2012-01-05,2020-03-19,501590,573750
2306,0,0,0,21,11,0,1,0,0,,100042,100540,2,0,3,0,0,2012-01-05,2020-03-19,501589,573749
2316,0,0,0,21,11,0,1,0,0,,100037,100349,2,0,3,0,0,2012-01-05,2020-03-19,501588,573748
2335,0,0,0,21,11,0,1,0,0,,100039,100349,2,0,3,0,0,2012-01-05,2020-03-19,501586,573746
2345,0,0,0,21,11,0,1,0,0,,100040,100349,2,0,3,0,0,2012-01-05,2020-03-19,501585,573745
2355,0,0,0,11,0,0,1,0,0,years,100040,100567,2,0,3,0,0,2012-01-05,2020-03-19,180498,203774
2365,0,0,0,21,11,0,1,0,1,,100040,100349,2,0,3,0,0,2012-01-05,2020-03-19,228655,263709
2375,0,0,0,21,11,0,1,0,1,,100070,100570,2,0,2,0,0,2012-01-05,2016-11-03,227206,242520
2385,0,0,0,21,11,0,1,0,1,,100070,100570,2,0,2,0,0,2012-01-05,2016-11-03,227206,242520
2395,0,0,0,21,11,0,1,0,1,,100070,100572,2,0,3,0,0,2012-01-05,2020-03-19,227355,261992
2405,0,0,0,11,0,0,1,0,1,,100070,100291,2,0,3,0,0,2012-01-05,2020-03-19,227355,261992
2415,0,0,0,21,11,0,1,0,1,,100047,100603,2,0,3,0,0,2012-01-05,2020-03-19,228654,263708
2443,0,0,0,21,11,0,1,0,0,,100044,100349,2,0,3,0,0,2012-01-05,2020-03-19,501578,573738
2453,0,0,0,21,11,0,1,0,0,,100044,100603,2,0,3,0,0,2012-01-05,2020-03-19,501578,573738
2463,0,0,0,21,11,0,1,0,0,,100044,100349,2,0,3,0,0,2012-01-05,2020-03-19,501578,573738
2473,0,0,0,21,11,0,1,0,0,,100044,100603,2,0,3,0,0,2012-01-05,2020-03-19,501578,573738
2492,0,0,0,21,11,0,1,0,0,,100045,100603,2,0,3,0,0,2012-01-05,2020-03-19,501578,573738
2624,0,0,0,21,11,0,1,0,0,,100054,100317,2,0,3,0,0,2012-01-05,2020-03-19,215572,237997
2634,0,0,0,21,11,0,1,0,0,,100054,100318,2,0,3,0,0,2012-01-05,2020-03-19,215572,237997
2644,0,0,0,21,11,0,1,0,0,,100058,100349,2,0,3,0,0,2012-01-05,2020-03-19,141750,157905
2654,0,0,0,21,11,0,1,0,0,,100052,100389,2,0,3,0,0,2012-01-05,2020-03-19,264411,287389
